Station;Longitude;Latitude;Elevation;Gravity
158 ;         -49.89375000;  -16.59375000;  6.570000E+02;  9.782371734363E+05
159 ;         -49.88958333;  -16.59375000;  6.470000E+02;  9.782398269807E+05
160 ;         -49.88541667;  -16.59375000;  6.400000E+02;  9.782416153588E+05
161 ;         -49.88125000;  -16.59375000;  6.330000E+02;  9.782434557847E+05
162 ;         -49.87708333;  -16.59375000;  6.230000E+02;  9.782462651977E+05
163 ;         -49.87291667;  -16.59375000;  6.130000E+02;  9.782491194000E+05
164 ;         -49.86875000;  -16.59375000;  6.030000E+02;  9.782520138795E+05
165 ;         -49.86458333;  -16.59375000;  6.100000E+02;  9.782497243341E+05
166 ;         -49.86041667;  -16.59375000;  6.360000E+02;  9.782416271259E+05
167 ;         -49.85625000;  -16.59375000;  6.600000E+02;  9.782341626815E+05
168 ;         -49.85208333;  -16.59375000;  6.570000E+02;  9.782350074569E+05
169 ;         -49.84791667;  -16.59375000;  6.470000E+02;  9.782380154639E+05
170 ;         -49.84375000;  -16.59375000;  6.310000E+02;  9.782428754133E+05
171 ;         -49.83958333;  -16.59375000;  6.410000E+02;  9.782397427141E+05
172 ;         -49.83541667;  -16.59375000;  6.490000E+02;  9.782372187458E+05
173 ;         -49.83125000;  -16.59375000;  6.560000E+02;  9.782349916277E+05
174 ;         -49.82708333;  -16.59375000;  6.610000E+02;  9.782333650498E+05
175 ;         -49.82291667;  -16.59375000;  6.650000E+02;  9.782320278400E+05
176 ;         -49.81875000;  -16.59375000;  6.640000E+02;  9.782322081404E+05
177 ;         -49.81458333;  -16.59375000;  6.780000E+02;  9.782277470719E+05
178 ;         -49.81041667;  -16.59375000;  7.050000E+02;  9.782192573853E+05
179 ;         -49.80625000;  -16.59375000;  7.130000E+02;  9.782165892046E+05
180 ;         -50.17291667;  -16.58958333;  6.180000E+02;  9.782804737943E+05
181 ;         -50.16875000;  -16.58958333;  6.130000E+02;  9.782814832493E+05
182 ;         -50.16458333;  -16.58958333;  6.290000E+02;  9.782760199317E+05
183 ;         -50.16041667;  -16.58958333;  6.240000E+02;  9.782770636849E+05
184 ;         -50.15625000;  -16.58958333;  6.220000E+02;  9.782772045028E+05
185 ;         -50.15208333;  -16.58958333;  6.440000E+02;  9.782699665719E+05
186 ;         -50.14791667;  -16.58958333;  6.740000E+02;  9.782602955949E+05
187 ;         -50.14375000;  -16.58958333;  6.670000E+02;  9.782620776949E+05
188 ;         -50.13958333;  -16.58958333;  6.580000E+02;  9.782645141025E+05
189 ;         -50.13541667;  -16.58958333;  6.600000E+02;  9.782635979183E+05
190 ;         -50.13125000;  -16.58958333;  6.600000E+02;  9.782633409465E+05
191 ;         -50.12708333;  -16.58958333;  6.460000E+02;  9.782674446755E+05
192 ;         -50.12291667;  -16.58958333;  6.310000E+02;  9.782719007370E+05
193 ;         -50.11875000;  -16.58958333;  6.240000E+02;  9.782739338235E+05
194 ;         -50.11458333;  -16.58958333;  6.190000E+02;  9.782753933107E+05
195 ;         -50.11041667;  -16.58958333;  6.350000E+02;  9.782704162190E+05
196 ;         -50.10625000;  -16.58958333;  6.370000E+02;  9.782697954579E+05
197 ;         -50.10208333;  -16.58958333;  6.190000E+02;  9.782753819287E+05
198 ;         -50.09791667;  -16.58958333;  6.160000E+02;  9.782763722234E+05
199 ;         -50.09375000;  -16.58958333;  6.250000E+02;  9.782736845783E+05
200 ;         -50.08958333;  -16.58958333;  6.360000E+02;  9.782703992622E+05
201 ;         -50.08541667;  -16.58958333;  6.490000E+02;  9.782665098612E+05
202 ;         -50.08125000;  -16.58958333;  6.580000E+02;  9.782638641698E+05
203 ;         -50.07708333;  -16.58958333;  6.590000E+02;  9.782636939622E+05
204 ;         -50.07291667;  -16.58958333;  6.560000E+02;  9.782647580563E+05
205 ;         -50.06875000;  -16.58958333;  6.670000E+02;  9.782614809929E+05
206 ;         -50.06458333;  -16.58958333;  6.830000E+02;  9.782566373435E+05
207 ;         -50.06041667;  -16.58958333;  6.880000E+02;  9.782551735485E+05
208 ;         -50.05625000;  -16.58958333;  6.820000E+02;  9.782570866297E+05
209 ;         -50.05208333;  -16.58958333;  6.720000E+02;  9.782602044717E+05
210 ;         -50.04791667;  -16.58958333;  6.970000E+02;  9.782524338929E+05
211 ;         -50.04375000;  -16.58958333;  7.060000E+02;  9.782495724212E+05
212 ;         -50.03958333;  -16.58958333;  6.980000E+02;  9.782519287426E+05
213 ;         -50.03541667;  -16.58958333;  6.800000E+02;  9.782573304106E+05
214 ;         -50.03125000;  -16.58958333;  6.590000E+02;  9.782636032619E+05
215 ;         -50.02708333;  -16.58958333;  6.650000E+02;  9.782614377111E+05
216 ;         -50.02291667;  -16.58958333;  6.740000E+02;  9.782582749083E+05
217 ;         -50.01875000;  -16.58958333;  6.820000E+02;  9.782553544886E+05
218 ;         -50.01458333;  -16.58958333;  6.820000E+02;  9.782548470367E+05
219 ;         -50.01041667;  -16.58958333;  6.990000E+02;  9.782490000248E+05
220 ;         -50.00625000;  -16.58958333;  7.110000E+02;  9.782446382199E+05
221 ;         -50.00208333;  -16.58958333;  7.030000E+02;  9.782464117193E+05
222 ;         -49.99791667;  -16.58958333;  7.100000E+02;  9.782434743175E+05
223 ;         -49.99375000;  -16.58958333;  7.130000E+02;  9.782417186566E+05
224 ;         -49.98958333;  -16.58958333;  7.190000E+02;  9.782389807746E+05
225 ;         -49.98541667;  -16.58958333;  7.150000E+02;  9.782392895688E+05
226 ;         -49.98125000;  -16.58958333;  7.030000E+02;  9.782420277645E+05
227 ;         -49.97708333;  -16.58958333;  6.830000E+02;  9.782471975996E+05
228 ;         -49.97291667;  -16.58958333;  6.730000E+02;  9.782492401173E+05
229 ;         -49.96875000;  -16.58958333;  6.770000E+02;  9.782469319311E+05
230 ;         -49.96458333;  -16.58958333;  6.680000E+02;  9.782486200906E+05
231 ;         -49.96041667;  -16.58958333;  6.900000E+02;  9.782407341521E+05
232 ;         -49.95625000;  -16.58958333;  7.080000E+02;  9.782340870379E+05
233 ;         -49.95208333;  -16.58958333;  7.000000E+02;  9.782354615894E+05
234 ;         -49.94791667;  -16.58958333;  6.810000E+02;  9.782402329844E+05
235 ;         -49.94375000;  -16.58958333;  6.960000E+02;  9.782345545564E+05
236 ;         -49.93958333;  -16.58958333;  7.040000E+02;  9.782310603835E+05
237 ;         -49.93541667;  -16.58958333;  7.160000E+02;  9.782263713745E+05
238 ;         -49.93125000;  -16.58958333;  7.280000E+02;  9.782217238275E+05
239 ;         -49.92708333;  -16.58958333;  7.070000E+02;  9.782272596113E+05
240 ;         -49.92291667;  -16.58958333;  6.870000E+02;  9.782325311961E+05
241 ;         -49.91875000;  -16.58958333;  6.810000E+02;  9.782335528451E+05
242 ;         -49.91458333;  -16.58958333;  6.780000E+02;  9.782337077350E+05
243 ;         -49.91041667;  -16.58958333;  6.740000E+02;  9.782342262871E+05
244 ;         -49.90625000;  -16.58958333;  6.630000E+02;  9.782369505862E+05
245 ;         -49.90208333;  -16.58958333;  6.520000E+02;  9.782397335081E+05
246 ;         -49.89791667;  -16.58958333;  6.500000E+02;  9.782398149008E+05
247 ;         -49.89375000;  -16.58958333;  6.570000E+02;  9.782371943834E+05
248 ;         -49.88958333;  -16.58958333;  6.570000E+02;  9.782367776647E+05
249 ;         -49.88541667;  -16.58958333;  6.530000E+02;  9.782376422472E+05
250 ;         -49.88125000;  -16.58958333;  6.470000E+02;  9.782391718561E+05
251 ;         -49.87708333;  -16.58958333;  6.340000E+02;  9.782428973457E+05
252 ;         -49.87291667;  -16.58958333;  6.110000E+02;  9.782497364591E+05
253 ;         -49.86875000;  -16.58958333;  6.060000E+02;  9.782510920466E+05
254 ;         -49.86458333;  -16.58958333;  6.250000E+02;  9.782451133932E+05
255 ;         -49.86041667;  -16.58958333;  6.450000E+02;  9.782388529426E+05
256 ;         -49.85625000;  -16.58958333;  6.600000E+02;  9.782341477944E+05
257 ;         -49.85208333;  -16.58958333;  6.610000E+02;  9.782337588248E+05
258 ;         -49.84791667;  -16.58958333;  6.640000E+02;  9.782327662119E+05
259 ;         -49.84375000;  -16.58958333;  6.530000E+02;  9.782360827875E+05
260 ;         -49.83958333;  -16.58958333;  6.410000E+02;  9.782397088804E+05
261 ;         -49.83541667;  -16.58958333;  6.370000E+02;  9.782408712922E+05
262 ;         -49.83125000;  -16.58958333;  6.420000E+02;  9.782392558494E+05
263 ;         -49.82708333;  -16.58958333;  6.590000E+02;  9.782339335110E+05
264 ;         -49.82291667;  -16.58958333;  6.700000E+02;  9.782304382197E+05
265 ;         -49.81875000;  -16.58958333;  6.710000E+02;  9.782299989393E+05
266 ;         -49.81458333;  -16.58958333;  6.840000E+02;  9.782258423727E+05
267 ;         -49.81041667;  -16.58958333;  7.050000E+02;  9.782191971879E+05
268 ;         -49.80625000;  -16.58958333;  7.160000E+02;  9.782156031240E+05
